area_sqft,bedrooms,age_years,distance_to_city_km,price_lakh
850,2,10,15,45.5
1200,3,5,10,72.0
650,1,20,25,28.0
1500,4,3,8,95.0
980,2,8,12,55.0
1100,3,12,9,64.5
750,2,15,18,38.0
1800,4,2,5,120.0
600,1,25,30,22.5
1350,3,6,7,85.0
1050,3,9,11,60.0
900,2,11,14,50.0
1600,4,4,6,105.0
700,1,18,22,32.0
1250,3,7,9,78.0
800,2,13,16,42.0
2000,5,1,4,145.0
550,1,28,35,20.0
1400,3,5,8,88.0
1000,2,10,12,57.0
1150,3,8,10,68.0
680,1,20,24,30.0
1700,4,3,5,112.0
920,2,9,13,52.0
1300,3,6,9,80.0
760,2,14,17,40.0
1900,5,2,4,135.0
580,1,26,32,21.0
1450,4,5,7,92.0
1080,3,9,11,62.0
850,2,12,15,46.0
1550,4,4,6,100.0
720,1,17,21,34.0
1200,3,7,10,73.0
980,2,11,13,56.0
1650,4,3,5,108.0
630,1,22,28,25.0
1380,3,6,8,86.0
1020,2,10,12,58.0
900,2,13,14,49.0
1750,4,2,5,118.0
560,1,27,33,19.5
1480,4,5,7,94.0
1100,3,8,10,65.0
820,2,12,16,44.0
1280,3,6,9,79.0
670,1,19,23,31.0
1950,5,1,4,140.0
940,2,10,13,53.5
1320,3,7,8,82.0
780,2,14,17,41.0
1580,4,4,6,102.0
610,1,24,29,23.5
1420,3,5,8,89.0
1060,3,9,11,61.0
870,2,11,15,47.5
1680,4,3,5,110.0
700,1,18,22,33.0
1220,3,7,10,74.5
1000,2,10,12,57.5
840,2,12,15,45.0
1520,4,4,6,98.0
660,1,21,26,29.0
1360,3,6,9,84.0
1040,3,9,11,59.5
910,2,11,14,51.0
1720,4,3,5,114.0
590,1,25,31,21.5
1460,4,5,7,93.0
1120,3,8,10,66.0
800,2,13,16,43.0
1260,3,6,9,77.0
690,1,19,23,31.5
1850,5,2,4,128.0
950,2,10,13,54.0
1340,3,6,8,83.0
770,2,14,17,40.5
1600,4,4,6,104.0
625,1,23,28,24.5
1500,4,5,7,96.0
1080,3,9,11,63.0
880,2,11,15,48.0
1700,4,3,5,111.0
710,1,18,22,33.5
1240,3,7,10,75.5
1020,2,10,12,58.5
820,2,12,16,44.5
1560,4,4,6,101.0
640,1,22,27,26.5
1440,3,5,8,90.5
1060,3,9,11,62.5
860,2,12,15,46.5
1640,4,3,5,107.0
680,1,20,24,30.5
1900,5,2,4,132.0
960,2,10,13,54.5
1280,3,7,9,78.5
740,2,15,18,38.5
1780,4,2,5,122.0
